PAGE_ID,PAGE_NAME,PAGE_MODE
0,Global Page,Normal
1,Home,Normal
2,My Tasks,Normal
3,GT - Deliverables  ,Modal Dialog
4,Form,Modal Dialog
5,Task Details,Modal Dialog
6,All Tasks,Normal
7,Assign Tasks,Modal Dialog
8,Assign Tasks Copyyy,Normal
9,Assign Tasks,Normal
10,All Tasks,Normal
11,Modules,Normal
12,Tasks,Modal Dialog
13,Slider Upload,Normal
14,Lookup  Setup,Normal
15,Roles,Normal
16,Add User Role,Modal Dialog
17,Assign Task Details,Modal Dialog
18,scroll test.,Normal
19,Forgot Password,Modal Dialog
20,Home_video stream_o,Normal
21,Home,Normal
22,Home-test,Normal
23,Home,Normal
24,CGCT_Home Upload,Normal
25,Trail,Normal
26,Home,Normal
27,Home1,Normal
28,Carousel,Modal Dialog
29,HomeTrail,Normal
30,Home1,Modal Dialog
31,Task Details,Modal Dialog
32,Home1,Normal
33,Upload,Modal Dialog
34,Home1,Normal
35,task details copy_o,Modal Dialog
36,Task Details_copy_o,Modal Dialog
37,User Details,Normal
38,Add Functionalities,Modal Dialog
39,Home1,Normal
40,Home1,Normal
41,Update Effort,Modal Dialog
42,ICT Archives,Modal Dialog
43,Data Load For Project Plan New Version,Modal Dialog
44,Home1,Normal
45,Assign Tasks11,Normal
46,View Waves,Modal Dialog
47,Create ICT Videos,Modal Dialog
48,UE_1,Normal
49,Enter Effort Spent,Modal Dialog
50,Dynamic Columns,Normal
51,Update Effort,Modal Dialog
52,View Effort Loading By Employee,Modal Dialog
53,Data Load For Project Plan New Version,Modal Dialog
54,Trail,Modal Dialog
55,Form Trail,Normal
56,View Efforts Loading By Employees,Modal Dialog
57,Create/Edit Wave,Modal Dialog
58,Daily Effort Details,Modal Dialog
59,Add Project Plan Line,Modal Dialog
60,View Efforts Loading by Employee,Modal Dialog
61,UEEE,Modal Dialog
62,Update Effort,Modal Dialog
63,Create Plan Line-research,Normal
64,Gantt,Normal
65,Edit Project Line,Normal
66,Templates ,Normal
67,Edit Template,Modal Dialog
68,Resource Utilization,Normal
69,Update Effort,Modal Dialog
70,Project Waves,Normal
71,Project Plan,Normal
72,Resource Leveling,Normal
73,Assign Tasks,Normal
74,Resource Leveling Efforts,Normal
75,Daily Effort Details,Modal Dialog
76,Resource Utilization,Normal
77,Create/Update Asset,Modal Dialog
78,Asset,Normal
79,create asset,Modal Dialog
80,Assign Tasks,Normal
81,File ReUpload,Modal Dialog
82,Update Effort,Modal Dialog
83,trail,Normal
84,Trail Page,Normal
85,Resource Leveling,Normal
86,All Tasks Facets Exp,Normal
87,Assign Tasks Demo 2,Normal
88,New project plan line,Modal Dialog
89,Resource Leveling,Normal
90,Create Plan Line,Modal Dialog
91,Create Plan Line,Normal
92,Project Plan Dependency,Modal Dialog
93,Create Plan Line,Normal
94,Assign Tasks DEMO,Normal
95,My Tasks,Normal
96,Create Plan Line 02,Normal
97,Create Plan Line 01,Normal
98,Download file-format,Modal Dialog
99,Assign Tasks,Modal Dialog
100,Task Details,Normal
101,File Upload,Modal Dialog
102,Delete Project Plan Dependency,Modal Dialog
103,Resource Leveling,Normal
104,Create Plan Line 2,Normal
105,All Tasks_omkar,Normal
106,Assign Tasks,Normal
107,AssDemo3ign Tasks ,Normal
108,Create Plan Line 00,Normal
109,Create Plan Line 00,Modal Dialog
110,Assign Tasks Demo ,Normal
111,Component,Modal Dialog
112,ViewFiles vsd,Modal Dialog
113,Maintain Busines Units,Normal
114,Business Unit,Modal Dialog
115,Project Structure,Modal Dialog
116,Project User Stories test,Normal
117,Home-test,Normal
118,ganttchart,Normal
119,Resource Leveling,Normal
120,Maintain Project,Modal Dialog
121,Component,Modal Dialog
122,ViewFiles vsd,Modal Dialog
123,TestCases Project testing,Normal
124,Process Flow ,Modal Dialog
125,Project Questionnaire Testing,Normal
126,Project User Story,Modal Dialog
127,Process Flow L2,Modal Dialog
128,Product Selection,Modal Dialog
129,Product Elements,Modal Dialog
130,Video Streaming,Modal Dialog
131, Project Structure Sub Phase,Modal Dialog
132,Process Flow ,Modal Dialog
133,Demo Recording,Modal Dialog
134,Demo Recording,Modal Dialog
135,Demo Recording,Modal Dialog
136,View Test Cases,Modal Dialog
137,Project User Story,Modal Dialog
138,Project Deliverables 407,Modal Dialog
139,Project User Story,Modal Dialog
140,File Download,Modal Dialog
141,KDDs,Modal Dialog
142,KDDs,Modal Dialog
143,KDDs,Modal Dialog
144,Edit Plan Header,Modal Dialog
145,Add Project Plan Line,Modal Dialog
146,Test Case Create,Modal Dialog
147,Test Cases Steps,Modal Dialog
148,Create L1,Modal Dialog
149,Create L2,Modal Dialog
150,Create L3,Modal Dialog
151,Project Questionnaire,Modal Dialog
152,Project Questionnaire,Modal Dialog
153,TSHIRT Sizing,Normal
154,Project Questionnaire,Modal Dialog
155,PROJECT TEST CASES ,Modal Dialog
156,PROJECT TEST CASES ,Modal Dialog
157,PROJECT TEST CASES ,Modal Dialog
158,T-Shirt Sizing,Modal Dialog
159,Assign Tasks Reset,Normal
160,Add new task,Modal Dialog
161,Task Details,Normal
162,View Dependency Project Plan Line,Modal Dialog
163,View Test Cases,Modal Dialog
164,Project Hierarchy,Normal
165,PRJ_Structure_1,Normal
166,Project Structure_3,Normal
167,Assign Tasks copy testing,Normal
168,PRJ_Structure_1,Normal
169,Resource Leveling,Normal
170,Resource Leveling,Normal
171,Resource Levelling multiple user testing,Normal
172,Emp_Reassign_tasks,Modal Dialog
173,Demo Recordings,Modal Dialog
174,Project Structure_1,Normal
175,Project Node (L1),Modal Dialog
176,Test Cases Steps,Modal Dialog
177,Project Node (L2),Modal Dialog
178,Project Node (L3),Modal Dialog
179,Update DemoRecording,Modal Dialog
180,Project Waves,Normal
181,Project Structure,Normal
182,Edit Project Components,Modal Dialog
183,Project User Stories,Normal
184,Update Project Story,Modal Dialog
185,Asset,Normal
186,Create Plan Line,Modal Dialog
187,Maintain Project,Normal
188,Process Flows Project,Normal
189,Add / Edit Project Components,Modal Dialog
190,Project Waves POC,Normal
191,All Tasks_omkar_2,Normal
192,Delete Plan Line,Modal Dialog
193,Planning Zone,Normal
194,Process Flow ,Modal Dialog
195,Create Plan Line test,Normal
196,Change Display For Phase,Modal Dialog
197,KDDs,Normal
198,KDDs,Modal Dialog
199,PLAN_LINE,Normal
200,Navigation Menu POC Testing,Normal
201,TestCases Project,Normal
202,Test Scenarios,Modal Dialog
203,Project,Normal
204,Maintain Project,Normal
205,Project Details,Normal
206,Project Waves POC,Normal
207,Project Details,Normal
208,Version,Normal
209,Plan,Normal
210,PROJECT PLAN LINE,Normal
211,Phases,Normal
212,Project Team,Normal
213,Product Test Case Step,Modal Dialog
214,Copy Change Display Sequence,Modal Dialog
215,Copy version,Modal Dialog
216,Assumptions,Normal
217,Create Plan Line,Modal Dialog
218,Project Test Case Steps,Modal Dialog
219,Copy Plan Line,Modal Dialog
220,Create Plan Line testing,Normal
221,Tasks,Modal Dialog
222,Planning Zone test,Normal
223,Sprint Plan,Normal
224,Create Plan Version,Modal Dialog
225,Tasks,Modal Dialog
226,CREATE PROJECT,Normal
227,Planning Zone,Normal
228,Add Element,Modal Dialog
229,Change Display Sequence Template,Modal Dialog
230,ICT,Modal Dialog
231,Project Waves POC,Normal
232,ICT Videos,Normal
233,Documents,Normal
234,Select Template Names,Modal Dialog
235,Design Workshops Plan,Normal
236,Task Details,Modal Dialog
237,Design Workshops Plan,Normal
238,Edit Sprint,Modal Dialog
239,Sprint Plan,Normal
240,Project Templates,Normal
241,User Stories,Modal Dialog
242,Documents_omkar_2,Normal
243,Assumptions,Normal
244,Maintain Project,Normal
245,WIP-154,Normal
246,Create/Edit Project Template,Modal Dialog
247,Upload Interface ,Modal Dialog
248,File Upload,Modal Dialog
249,Sprint user Stories (WTDS),Modal Dialog
250,File Upload,Modal Dialog
251,Create Plan Line test scrollbar testing,Normal
252,Compare Project,Normal
253,WorkShop,Modal Dialog
254,Add Pages,Modal Dialog
255,Project Structure_omkar,Modal Dialog
256,Download Template,Modal Dialog
257,Workshop Demo Recording,Modal Dialog
258,Project Details,Normal
259,New project plan line,Normal
260,Integration Templates,Normal
261,Simulator,Modal Dialog
262,Project Access,Normal
263,System Requirements,Normal
264,Copy User Story,Modal Dialog
265,Schedule,Modal Dialog
266,Create Plan Line test,Normal
267,Persona,Normal
268,Team,Normal
269,Create Plan Line test,Normal
270,Project Summary,Modal Dialog
271,My Tasks New,Normal
272,Task Details New,Normal
273,Maintain Phase New,Modal Dialog
274,Change Display For SubPhase,Modal Dialog
275,Smart Sheet Mapping,Normal
276,Smart Sheet Mapping,Modal Dialog
277,smartsheet project,Normal
278,Edit,Modal Dialog
279,ADD ESTIMATION,Modal Dialog
280,Copy to Blueprint,Modal Dialog
281,Estimation copy,Normal
282,Backward Workflow,Normal
